BHK,SqftArea,Bathrooms,Balconies,CityTier,LocationType,Furnishing,PropertyAge,PowerBackup,SalePrice_INR,PricePerSqft
2,1104.2244856758678,2,1,Tier 2,Suburbs,Fully Furnished,3,No,8913509.892878493,8072.190037900455
5,2822.607792975028,2,3,Tier 3,Outskirts,Unfurnished,9,No,10771035.743120667,3815.987389366624
3,1666.6813398010347,2,3,Tier 2,City Center,Fully Furnished,19,Yes,16546436.801615838,9927.774678026408
3,1526.8742043765747,3,2,Tier 1 (Metro),Outskirts,Unfurnished,11,Yes,15840826.959954422,10374.677176776497
2,960.5323159385348,2,1,Tier 3,Suburbs,Fully Furnished,8,No,6792562.498528936,7071.664727794122
2,969.7453432692977,1,2,Tier 2,Outskirts,Semi-Furnished,14,No,4525761.20973588,4666.958435168354
1,480.5091719647319,1,3,Tier 1 (Metro),Outskirts,Fully Furnished,8,Yes,6172942.177584027,12846.668779169744
4,2453.508038746826,4,0,Tier 1 (Metro),Tech Park,Semi-Furnished,6,Yes,42534010.72450392,17335.998110782202
3,1678.0670166842585,3,3,Tier 2,Tech Park,Unfurnished,23,Yes,13584243.522081051,8095.17342693652
3,617.8834096007158,3,3,Tier 2,City Center,Unfurnished,11,Yes,7330610.631522669,11864.067747440904
1,565.5900776529761,2,2,Tier 2,Tech Park,Semi-Furnished,19,Yes,4293815.644260888,7591.745000334686
5,2597.3680973593873,2,0,Tier 2,Outskirts,Unfurnished,23,No,13122779.909305494,5052.33737283782
3,1494.3873730662308,2,0,Tier 2,Tech Park,Fully Furnished,13,Yes,13114083.491736392,8775.55828434799
2,922.2963093822228,2,2,Tier 3,Suburbs,Semi-Furnished,21,Yes,3445574.7666947804,3735.865287157782
2,1224.8225439972027,2,1,Tier 2,Outskirts,Unfurnished,15,No,5517891.490999158,4505.053828444033
2,1189.5052924245715,1,0,Tier 1 (Metro),Outskirts,Fully Furnished,18,No,11992015.543222468,10081.515079919582
2,845.4244664352782,1,0,Tier 3,Outskirts,Fully Furnished,22,No,2625988.1599533013,3106.11800841978
3,1622.1156861373606,3,2,Tier 1 (Metro),Suburbs,Unfurnished,2,No,22819325.59497229,14067.631421104421
2,805.6686530917428,2,1,Tier 2,Outskirts,Unfurnished,10,Yes,3994664.003429683,4958.1971299245815
2,724.0763670422139,2,1,Tier 3,Tech Park,Fully Furnished,22,No,3394907.863875236,4688.604708565653
3,1311.9848326230106,3,3,Tier 2,Suburbs,Semi-Furnished,20,No,8525973.164006315,6498.530281756842
2,1172.4786944765517,2,3,Tier 2,Outskirts,Unfurnished,19,Yes,5037563.987087634,4296.507911673938
2,1190.6250090752173,1,2,Tier 1 (Metro),Tech Park,Unfurnished,18,Yes,19319088.257651392,16226.005762013114
