LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,FullBath,HalfBath,GarageCars,Neighborhood,KitchenQual,SalePrice,BathsTotal,Age
6993.428306022465,6,4,2007,1053.1269904581427,3,0,3,Rural,Ex,473215.72543484264,3.0,17
5723.47139765763,3,6,2000,1306.017515546274,3,1,2,Suburbs,TA,338435.3372407392,3.5,24
7295.377076201385,8,8,1951,1411.9332482245109,3,1,3,LuxuryEstate,TA,870627.5310788901,3.5,73
9046.059712816052,3,3,1990,500.0,2,0,0,Downtown,Ex,410525.615833843,2.0,34
5531.693250553328,2,1,1965,2335.673787718738,1,0,0,LuxuryEstate,Gd,747075.822359953,1.0,59
5531.726086101638,3,3,1953,1049.3121600514128,2,0,3,LuxuryEstate,Fa,468018.3806738311,2.0,71
9158.425631014783,6,3,1961,1752.8677162363995,1,1,0,Suburbs,Ex,561017.0685558631,1.5,63
7534.869458305818,2,5,1978,1456.6494319258957,3,0,1,Suburbs,Ex,478431.47488756117,3.0,46
5061.051228130096,8,4,1956,2128.80952817968,1,0,2,Suburbs,Gd,559842.9550814315,1.0,68
7085.120087171929,1,4,1963,1703.0280612140405,3,1,2,Suburbs,TA,366116.06377447105,3.5,61
5073.164614375076,7,9,1961,1382.5378642395126,2,0,0,Downtown,Gd,519063.0587820324,2.0,63
5068.540492859486,2,7,1954,1053.24245374036,1,1,2,Rural,Gd,233372.95660429183,1.5,70
6483.924543132068,10,4,1981,1898.9253506910695,2,1,1,Rural,TA,433479.61899891106,2.5,43
2173.439510684404,6,3,2023,563.2793480226917,3,0,0,Downtown,Ex,480144.905487756,3.0,1
2550.1643349739343,2,6,1992,1822.9452101379463,2,0,1,LuxuryEstate,Gd,691578.844769354,2.0,32
4875.424941518055,2,3,2018,950.4776242225637,3,0,1,Downtown,Gd,452964.5046232513,3.0,6
3974.3377593311525,10,6,1994,2126.14183097832,3,1,2,Rural,Ex,653406.3242699315,3.5,30
6628.4946651905475,8,9,1958,1580.6497713313474,3,1,2,Rural,Ex,480893.90425882756,3.5,66
4183.9518489575785,2,6,1998,1822.0618839250544,2,1,3,Downtown,Fa,427083.03887170454,2.5,26
3175.392597329417,7,4,1982,1540.9944069123596,2,0,1,Suburbs,Gd,488994.8323068438,2.0,42
8931.297537843107,3,5,1967,623.8114524295016,1,0,2,LuxuryEstate,Fa,446418.94210345484,1.0,57
5548.447399026929,8,6,1958,1069.635418302331,1,0,1,Downtown,TA,445191.107483155,1.0,66
6135.056409375848,7,3,2011,1836.1946688056912,2,0,3,Rural,Ex,545923.6250284251,2.0,13
3150.5036275730863,8,8,2006,1583.327908679922,2,0,1,Suburbs,Ex,623457.0368784794,2.0,18
4911.2345509496345,7,4,1978,2090.494952652836,2,0,0,LuxuryEstate,Fa,746058.8151055423,2.0,46
6221.845179419732,6,8,1974,1701.637281518586,2,1,3,Rural,Gd,403747.81383995805,2.5,50
3698.012845155394,7,10,1964,1016.6490546486701,3,1,3,LuxuryEstate,TA,687583.2711161416,3.5,60
